"sample_id","cc"
7757,"CC15"
7772,"CC15"
7836,"CC15"
7838,"CC15"
7843,"CC15"
7844,"CC15"
7873,"CC15"
7889,"CC15"
7902,"CC15"
7914,"CC15"
7926,"CC15"
7927,"CC15"
8002,"CC15"
8009,"CC15"
8011,"CC15"
8012,"CC15"
8020,"CC15"
8055,"CC15"
8068,"CC15"
8077,"CC15"
8095,"CC15"
8112,"CC15"
8121,"CC15"
8810,"CC15"
8832,"CC15"
8836,"CC15"
8850,"CC15"
8853,"CC15"
8856,"CC15"
8868,"CC15"
8952,"CC15"
8965,"CC15"
8969,"CC15"
8980,"CC15"
8994,"CC15"
9017,"CC15"
9039,"CC15"
9048,"CC15"
9093,"CC15"
9127,"CC15"
9155,"CC15"
9181,"CC15"
9184,"CC15"
9201,"CC15"
9237,"CC15"
9239,"CC15"
9241,"CC15"
9271,"CC15"
9286,"CC15"
9292,"CC15"
9302,"CC15"
9337,"CC15"
9340,"CC15"
9347,"CC15"
9363,"CC15"
9438,"CC15"
9502,"CC15"
9701,"CC15"
9772,"CC15"
9869,"CC15"
9901,"CC15"
9909,"CC15"
9921,"CC15"
9923,"CC15"
9949,"CC15"
9961,"CC15"
9964,"CC15"
9984,"CC15"
10039,"CC15"
10054,"CC15"
10064,"CC15"
10069,"CC15"
10071,"CC15"
10074,"CC15"
10096,"CC15"
10104,"CC15"
11451,"CC15"
11455,"CC15"
11460,"CC15"
11505,"CC15"
11541,"CC15"
11557,"CC15"
11572,"CC15"
11574,"CC15"
11636,"CC15"
11638,"CC15"
11642,"CC15"
11646,"CC15"
11650,"CC15"
11662,"CC15"
11672,"CC15"
11677,"CC15"
11680,"CC15"
11683,"CC15"
11703,"CC15"
11716,"CC15"
11726,"CC15"
11736,"CC15"
11742,"CC15"
11758,"CC15"
11911,"CC15"
11938,"CC15"
11961,"CC15"
11964,"CC15"
11971,"CC15"
12151,"CC15"
12154,"CC15"
12162,"CC15"
12169,"CC15"
12176,"CC15"
12180,"CC15"
12679,"CC15"
12761,"CC15"
12821,"CC15"
12858,"CC15"
12864,"CC15"
12897,"CC15"
12899,"CC15"
12903,"CC15"
12906,"CC15"
12912,"CC15"
12921,"CC15"
12924,"CC15"
12927,"CC15"
12932,"CC15"
12940,"CC15"
12960,"CC15"
12987,"CC15"
12998,"CC15"
13048,"CC15"
13079,"CC15"
13083,"CC15"
13103,"CC15"
13113,"CC15"
13124,"CC15"
13145,"CC15"
13245,"CC15"
13272,"CC15"
13273,"CC15"
13290,"CC15"
13312,"CC15"
13315,"CC15"
13323,"CC15"
13326,"CC15"
13461,"CC15"
13494,"CC15"
13497,"CC15"
13519,"CC15"
13528,"CC15"
13542,"CC15"
13546,"CC15"
13550,"CC15"
13558,"CC15"
13562,"CC15"
13571,"CC15"
13578,"CC15"
13800,"CC15"
13806,"CC15"
14035,"CC15"
14076,"CC15"
14194,"CC15"
14216,"CC15"
14225,"CC15"
14682,"CC15"
15010,"CC15"
15027,"CC15"
15033,"CC15"
15039,"CC15"
15040,"CC15"
15047,"CC15"
15056,"CC15"
15062,"CC15"
15073,"CC15"
15093,"CC15"
15095,"CC15"
15101,"CC15"
15104,"CC15"
15151,"CC15"
15152,"CC15"
15153,"CC15"
15154,"CC15"
15156,"CC15"
15157,"CC15"
15158,"CC15"
15159,"CC15"
15160,"CC15"
15169,"CC15"
15171,"CC15"
15187,"CC15"
15189,"CC15"
15203,"CC15"
15204,"CC15"
15218,"CC15"
15545,"CC15"
15560,"CC15"
15565,"CC15"
15571,"CC15"
15609,"CC15"
15660,"CC15"
15894,"CC15"
15905,"CC15"
15929,"CC15"
15944,"CC15"
15954,"CC15"
16071,"CC15"
16210,"CC15"
16302,"CC15"
16513,"CC15"
16846,"CC15"
16851,"CC15"
16874,"CC15"
16875,"CC15"
16933,"CC15"
16943,"CC15"
16952,"CC15"
16958,"CC15"
16972,"CC15"
16989,"CC15"
16995,"CC15"
17007,"CC15"
17060,"CC15"
17069,"CC15"
17073,"CC15"
17095,"CC15"
17099,"CC15"
17110,"CC15"
17126,"CC15"
17127,"CC15"
17138,"CC15"
17141,"CC15"
17145,"CC15"
17154,"CC15"
17156,"CC15"
17162,"CC15"
17166,"CC15"
17180,"CC15"
17192,"CC15"
17200,"CC15"
17204,"CC15"
17213,"CC15"
17230,"CC15"
17251,"CC15"
17264,"CC15"
17265,"CC15"
17267,"CC15"
17280,"CC15"
17286,"CC15"
17308,"CC15"
17316,"CC15"
17322,"CC15"
17323,"CC15"
17329,"CC15"
17339,"CC15"
17348,"CC15"
17352,"CC15"
17380,"CC15"
17383,"CC15"
17397,"CC15"
17400,"CC15"
17402,"CC15"
17408,"CC15"
17419,"CC15"
17423,"CC15"
17437,"CC15"
17665,"CC15"
17749,"CC15"
17787,"CC15"
17788,"CC15"
17791,"CC15"
18220,"CC15"
18221,"CC15"
18230,"CC15"
18272,"CC15"
18321,"CC15"
18323,"CC15"
18345,"CC15"
18346,"CC15"
18348,"CC15"
18349,"CC15"
18359,"CC15"
18360,"CC15"
18364,"CC15"
18365,"CC15"
18370,"CC15"
18371,"CC15"
18372,"CC15"
18378,"CC15"
18379,"CC15"
18380,"CC15"
18381,"CC15"
18642,"CC15"
18645,"CC15"
18666,"CC15"
18670,"CC15"
18719,"CC15"
18721,"CC15"
18724,"CC15"
18729,"CC15"
18734,"CC15"
18750,"CC15"
18784,"CC15"
19002,"CC15"
19103,"CC15"
19106,"CC15"
19117,"CC15"
19123,"CC15"
19127,"CC15"
19133,"CC15"
19151,"CC15"
19164,"CC15"
19169,"CC15"
19170,"CC15"
19189,"CC15"
19572,"CC15"
19590,"CC15"
